Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Total Placed    : 14
Density         : 0.02 rocks/m²
Collidable Ratio: 0.3
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260807_142256.npy

[  1] Rock_1       | Model #3 | Pos: (  2.775,  -6.469,  0.292) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: False
[  2] Rock_2       | Model #1 | Pos: (-12.558,   9.357,  1.044) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: False
[  3] Rock_3       | Model #2 | Pos: ( -2.244,  -2.246,  1.466) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: False
[  4] Rock_4       | Model #6 | Pos: (  0.704,  -8.978,  1.191) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[  5] Rock_5       | Model #7 | Pos: ( 10.845,   1.218,  1.491) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[  6] Rock_6       | Model #3 | Pos: (  3.906,   3.504,  1.713) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: False
[  7] Rock_7       | Model #7 | Pos: (  1.643,   2.688,  1.497) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: False
[  8] Rock_8       | Model #5 | Pos: ( 10.306,   9.381,  1.029) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: False
[  9] Rock_9       | Model #5 | Pos: (  3.505, -10.960,  1.732) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: False
[ 10] Rock_10      | Model #5 | Pos: ( -8.465,  -9.409,  0.937) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: False
[ 11] Rock_11      | Model #5 | Pos: (  2.376,   3.739,  1.498) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 12] Rock_12      | Model #9 | Pos: (  2.748,   5.264,  1.105) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: False
[ 13] Rock_13      | Model #9 | Pos: ( -6.462,   1.612,  1.319) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: False
[ 14] Rock_14      | Model #3 | Pos: (-10.141,  -1.909,  1.253) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: False
