Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Total Placed    : 70
Density         : 0.1 rocks/m²
Collidable Ratio: 0.8
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260807_142311.npy

[  1] Rock_1       | Model #6 | Pos: (-12.055,   5.912,  1.215) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[  2] Rock_2       | Model #7 | Pos: ( 11.322,   4.098,  1.251) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: False
[  3] Rock_3       | Model #5 | Pos: (  0.221,  -2.704,  1.527) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[  4] Rock_4       | Model #7 | Pos: ( -7.099,   9.763,  0.978) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[  5] Rock_5       | Model #6 | Pos: (  6.524,   6.080,  2.070) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[  6] Rock_6       | Model #8 | Pos: ( -8.328,  10.062,  0.928) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[  7] Rock_7       | Model #6 | Pos: ( 10.786,   9.190,  1.134) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[  8] Rock_8       | Model #6 | Pos: ( -5.247,  -5.289,  1.180) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[  9] Rock_9       | Model #9 | Pos: (  4.012,  10.075,  1.185) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: True
[ 10] Rock_10      | Model #7 | Pos: (  4.444,   2.656,  1.570) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: False
[ 11] Rock_11      | Model #1 | Pos: (-12.876,  -0.549,  1.101) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 12] Rock_12      | Model #6 | Pos: ( -0.106,  -5.783,  0.906) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[ 13] Rock_13      | Model #2 | Pos: (-11.906,  -8.940,  0.714) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 14] Rock_14      | Model #6 | Pos: (  0.799,  -0.474,  1.017) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 15] Rock_15      | Model #5 | Pos: (-13.961,  -5.459,  1.067) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 16] Rock_16      | Model #2 | Pos: (  1.377,   5.458,  1.390) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 17] Rock_17      | Model #5 | Pos: (  5.580,   3.936,  2.087) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 18] Rock_18      | Model #5 | Pos: ( -9.455,   0.029,  0.800) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 19] Rock_19      | Model #2 | Pos: ( 10.359,   6.343,  1.531) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 20] Rock_20      | Model #9 | Pos: (-16.784,   8.700,  1.018) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: True
[ 21] Rock_21      | Model #5 | Pos: (  0.010,   1.585,  0.895) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: False
[ 22] Rock_22      | Model #9 | Pos: ( -9.398, -10.783,  1.119) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: True
[ 23] Rock_23      | Model #8 | Pos: ( -8.790,  -0.879,  1.176) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 24] Rock_24      | Model #5 | Pos: (-10.917,   3.096,  0.741) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: False
[ 25] Rock_25      | Model #3 | Pos: ( 11.839,   9.529,  1.054) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 26] Rock_26      | Model #8 | Pos: ( -2.042,   8.396,  0.978) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 27] Rock_27      | Model #2 | Pos: (-14.166,  -9.469,  0.928) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 28] Rock_28      | Model #4 | Pos: (  7.363,  10.822,  1.337) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 29] Rock_29      | Model #4 | Pos: (  4.089,   8.738,  0.823) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 30] Rock_30      | Model #3 | Pos: (  6.560,  -6.919,  1.549) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 31] Rock_31      | Model #1 | Pos: ( -8.866,   7.997,  1.231) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: False
[ 32] Rock_32      | Model #9 | Pos: ( -1.258,  -4.443,  1.466) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: True
[ 33] Rock_33      | Model #8 | Pos: ( -5.373,  -9.729,  1.045) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 34] Rock_34      | Model #3 | Pos: (  5.282,  -9.243,  1.393) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 35] Rock_35      | Model #1 | Pos: (  0.261,  -9.822,  1.529) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 36] Rock_36      | Model #8 | Pos: (  2.280,   9.306,  1.435) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: False
[ 37] Rock_37      | Model #6 | Pos: ( -2.214,  -3.856,  1.457) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 38] Rock_38      | Model #8 | Pos: (-11.049,  -1.272,  1.174) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 39] Rock_39      | Model #1 | Pos: (-13.068,  -9.470,  0.495) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 40] Rock_40      | Model #4 | Pos: ( -7.741,  -3.776,  1.161) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 41] Rock_41      | Model #5 | Pos: ( -2.446,   1.085,  0.774) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 42] Rock_42      | Model #8 | Pos: ( -5.675,  -7.679,  0.985) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: False
[ 43] Rock_43      | Model #2 | Pos: (  3.490,  -7.223,  0.542) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 44] Rock_44      | Model #6 | Pos: (-10.530,  -3.459,  1.206) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[ 45] Rock_45      | Model #6 | Pos: ( -3.407,  -6.254,  1.202) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 46] Rock_46      | Model #1 | Pos: (  5.701,   9.417,  0.952) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: False
[ 47] Rock_47      | Model #5 | Pos: (  6.070,   2.875,  1.532) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 48] Rock_48      | Model #2 | Pos: (-15.496,  -6.749,  1.065) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 49] Rock_49      | Model #3 | Pos: (  1.859,   1.071,  1.467) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 50] Rock_50      | Model #2 | Pos: (-11.484, -10.158,  0.852) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 51] Rock_51      | Model #6 | Pos: ( 12.893,  10.382,  1.153) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[ 52] Rock_52      | Model #7 | Pos: (  2.888,   8.042,  0.998) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: False
[ 53] Rock_53      | Model #5 | Pos: ( -0.649,  10.372,  1.355) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
