Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/misara/Simulation_ws/src/ROAR-26-Simulation/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Total Placed    : 28
Density         : 0.04 rocks/m²
Collidable Ratio: 0.5
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260730_215836.npy

[  1] Rock_1       | Model #9 | Pos: ( 12.581,  10.965,  1.486) | Collidable: False
[  2] Rock_2       | Model #4 | Pos: ( -6.971,  -0.839,  1.328) | Collidable: True
[  3] Rock_3       | Model #1 | Pos: ( -5.293,  -7.881,  0.999) | Collidable: False
[  4] Rock_4       | Model #4 | Pos: ( -2.856,   7.489,  1.148) | Collidable: False
[  5] Rock_5       | Model #7 | Pos: ( -2.517,   3.099,  0.860) | Collidable: False
[  6] Rock_6       | Model #3 | Pos: (  8.919,  10.371,  1.436) | Collidable: False
[  7] Rock_7       | Model #7 | Pos: (-10.124,  -9.805,  0.828) | Collidable: False
[  8] Rock_8       | Model #4 | Pos: (  9.526,   7.112,  1.322) | Collidable: True
[  9] Rock_9       | Model #8 | Pos: (-11.339, -10.719,  0.763) | Collidable: False
[ 10] Rock_10      | Model #8 | Pos: (  5.332,   6.947,  1.449) | Collidable: True
[ 11] Rock_11      | Model #5 | Pos: (  1.302,   0.430,  1.190) | Collidable: True
[ 12] Rock_12      | Model #1 | Pos: (  4.869,  10.608,  1.245) | Collidable: False
[ 13] Rock_13      | Model #5 | Pos: (  5.231,   9.529,  0.875) | Collidable: True
[ 14] Rock_14      | Model #9 | Pos: (  3.190,  -6.779,  0.375) | Collidable: True
[ 15] Rock_15      | Model #3 | Pos: ( -2.386,  -1.509,  1.291) | Collidable: True
[ 16] Rock_16      | Model #5 | Pos: (  9.845,   1.802,  1.397) | Collidable: True
[ 17] Rock_17      | Model #6 | Pos: ( -7.150,   1.014,  1.190) | Collidable: False
[ 18] Rock_18      | Model #5 | Pos: ( -4.335,  -3.910,  1.396) | Collidable: False
[ 19] Rock_19      | Model #2 | Pos: (  0.885,  -9.822,  1.450) | Collidable: True
[ 20] Rock_20      | Model #4 | Pos: ( -5.775,  10.764,  0.923) | Collidable: True
[ 21] Rock_21      | Model #7 | Pos: ( -4.026,  -1.188,  1.350) | Collidable: False
[ 22] Rock_22      | Model #3 | Pos: (  3.920,   8.560,  0.838) | Collidable: True
[ 23] Rock_23      | Model #4 | Pos: ( -7.217,  -4.876,  1.253) | Collidable: False
[ 24] Rock_24      | Model #8 | Pos: ( 12.346,   9.031,  1.535) | Collidable: True
[ 25] Rock_25      | Model #2 | Pos: ( -4.054,   0.021,  1.257) | Collidable: True
[ 26] Rock_26      | Model #4 | Pos: (  9.158,   3.923,  0.937) | Collidable: False
[ 27] Rock_27      | Model #5 | Pos: (-17.255,   7.997,  1.028) | Collidable: True
[ 28] Rock_28      | Model #8 | Pos: (-14.074, -10.675,  1.236) | Collidable: True
