Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/world_setup/obsData_gen/inputs/marsyard_heightmap.npz
Total Placed    : 290
Density         : 0.412 rocks/m²
Collidable Ratio: 0.5
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260724_000959.npy

[  1] Rock_1       | Model #4 | Pos: ( -2.657,   3.738,  1.069) | Collidable: False
[  2] Rock_2       | Model #7 | Pos: ( -9.557,  -0.710,  1.076) | Collidable: True
[  3] Rock_3       | Model #7 | Pos: ( -1.239,   7.866,  1.298) | Collidable: True
[  4] Rock_4       | Model #2 | Pos: (  8.018,   7.929,  0.945) | Collidable: False
[  5] Rock_5       | Model #9 | Pos: (  7.443,   3.537,  1.648) | Collidable: False
[  6] Rock_6       | Model #5 | Pos: ( -6.067,  -5.449,  1.199) | Collidable: False
[  7] Rock_7       | Model #5 | Pos: (  3.911,   4.869,  1.294) | Collidable: True
[  8] Rock_8       | Model #8 | Pos: ( -4.258,   1.403,  0.980) | Collidable: True
[  9] Rock_9       | Model #9 | Pos: ( -3.254,   9.851,  0.765) | Collidable: True
[ 10] Rock_10      | Model #7 | Pos: (-14.776,   3.331,  0.889) | Collidable: True
[ 11] Rock_11      | Model #1 | Pos: (  5.325,   7.529,  1.057) | Collidable: True
[ 12] Rock_12      | Model #4 | Pos: (-14.963,   2.136,  0.882) | Collidable: False
[ 13] Rock_13      | Model #7 | Pos: ( -6.135,   8.725,  1.196) | Collidable: True
[ 14] Rock_14      | Model #1 | Pos: ( -3.419,  -7.028,  1.027) | Collidable: True
[ 15] Rock_15      | Model #1 | Pos: ( 11.979,   9.788,  0.855) | Collidable: True
[ 16] Rock_16      | Model #8 | Pos: ( -8.599,   9.319,  1.017) | Collidable: True
[ 17] Rock_17      | Model #6 | Pos: (  9.703,   6.466,  1.300) | Collidable: True
[ 18] Rock_18      | Model #6 | Pos: (  6.061,   3.271,  1.832) | Collidable: False
[ 19] Rock_19      | Model #7 | Pos: ( -7.609,   1.000,  0.956) | Collidable: True
[ 20] Rock_20      | Model #7 | Pos: ( -6.530,   2.474,  1.281) | Collidable: True
[ 21] Rock_21      | Model #7 | Pos: ( -8.319,  -4.343,  1.152) | Collidable: False
[ 22] Rock_22      | Model #8 | Pos: (  9.597,   9.278,  0.883) | Collidable: True
[ 23] Rock_23      | Model #1 | Pos: ( -1.521,  -1.314,  1.099) | Collidable: False
[ 24] Rock_24      | Model #5 | Pos: (  5.074,   9.996,  0.807) | Collidable: True
[ 25] Rock_25      | Model #9 | Pos: ( -0.751,  -9.106,  1.435) | Collidable: True
[ 26] Rock_26      | Model #4 | Pos: ( 12.115,   4.884,  1.201) | Collidable: False
[ 27] Rock_27      | Model #9 | Pos: (  7.634,   5.145,  1.946) | Collidable: False
[ 28] Rock_28      | Model #8 | Pos: (-13.959,  -6.587,  1.018) | Collidable: True
[ 29] Rock_29      | Model #6 | Pos: (  4.550,   5.977,  1.387) | Collidable: True
[ 30] Rock_30      | Model #1 | Pos: (-11.975,  -4.723,  1.140) | Collidable: True
[ 31] Rock_31      | Model #6 | Pos: (-10.046,  -5.078,  1.122) | Collidable: False
[ 32] Rock_32      | Model #8 | Pos: ( -8.615,  -2.814,  1.209) | Collidable: False
[ 33] Rock_33      | Model #3 | Pos: (  3.768,   2.830,  1.582) | Collidable: False
[ 34] Rock_34      | Model #4 | Pos: (-14.527,   5.701,  1.186) | Collidable: True
[ 35] Rock_35      | Model #4 | Pos: ( -2.629,  -8.372,  1.196) | Collidable: False
[ 36] Rock_36      | Model #1 | Pos: (  0.812,  -0.748,  1.083) | Collidable: True
[ 37] Rock_37      | Model #1 | Pos: ( -7.677,  -7.792,  0.852) | Collidable: True
[ 38] Rock_38      | Model #1 | Pos: (  7.087,   6.334,  1.905) | Collidable: True
[ 39] Rock_39      | Model #4 | Pos: (-10.112,   5.015,  1.105) | Collidable: True
[ 40] Rock_40      | Model #5 | Pos: ( -7.653,   2.423,  0.807) | Collidable: False
[ 41] Rock_41      | Model #7 | Pos: (  2.120,  -5.058,  0.980) | Collidable: True
[ 42] Rock_42      | Model #8 | Pos: ( -1.798,  -4.059,  1.450) | Collidable: True
[ 43] Rock_43      | Model #6 | Pos: ( -0.454,   2.160,  0.905) | Collidable: True
[ 44] Rock_44      | Model #7 | Pos: (  3.546,   6.280,  0.736) | Collidable: False
[ 45] Rock_45      | Model #3 | Pos: ( -3.136,  -9.921,  1.563) | Collidable: True
[ 46] Rock_46      | Model #2 | Pos: (  2.300,  -8.036,  1.167) | Collidable: False
[ 47] Rock_47      | Model #9 | Pos: ( -2.594,  -4.727,  1.349) | Collidable: False
[ 48] Rock_48      | Model #6 | Pos: ( -2.655,  -1.317,  1.248) | Collidable: True
[ 49] Rock_49      | Model #8 | Pos: (  8.754,   4.253,  1.081) | Collidable: False
[ 50] Rock_50      | Model #8 | Pos: (  2.703,  10.251,  1.467) | Collidable: False
[ 51] Rock_51      | Model #6 | Pos: ( -9.233,   2.602,  0.670) | Collidable: False
[ 52] Rock_52      | Model #9 | Pos: ( 11.145,   8.582,  1.397) | Collidable: True
[ 53] Rock_53      | Model #9 | Pos: (  7.369,   9.008,  0.984) | Collidable: True
[ 54] Rock_54      | Model #8 | Pos: (  7.089,   2.422,  1.051) | Collidable: False
[ 55] Rock_55      | Model #6 | Pos: ( -7.573,   8.899,  1.087) | Collidable: True
[ 56] Rock_56      | Model #5 | Pos: (  4.723,  -8.105,  0.645) | Collidable: True
[ 57] Rock_57      | Model #2 | Pos: (  5.632,   0.790,  1.125) | Collidable: True
[ 58] Rock_58      | Model #7 | Pos: (  3.021,  -9.743,  1.664) | Collidable: False
[ 59] Rock_59      | Model #2 | Pos: ( -8.961,  -8.637,  0.735) | Collidable: True
[ 60] Rock_60      | Model #2 | Pos: (-12.333,  -8.396,  0.634) | Collidable: True
[ 61] Rock_61      | Model #3 | Pos: ( -5.911,  -7.358,  1.031) | Collidable: False
[ 62] Rock_62      | Model #6 | Pos: (  4.051,   9.806,  1.052) | Collidable: False
[ 63] Rock_63      | Model #3 | Pos: ( -4.630,   2.481,  1.135) | Collidable: True
[ 64] Rock_64      | Model #7 | Pos: (  5.845,  -2.120,  1.666) | Collidable: True
[ 65] Rock_65      | Model #8 | Pos: ( -5.075,  -9.426,  1.005) | Collidable: False
[ 66] Rock_66      | Model #1 | Pos: (  0.184,  -6.029,  0.743) | Collidable: True
[ 67] Rock_67      | Model #1 | Pos: (  6.272,  -8.861,  1.591) | Collidable: True
[ 68] Rock_68      | Model #6 | Pos: (  1.281,  -7.995,  1.206) | Collidable: False
[ 69] Rock_69      | Model #6 | Pos: (  5.909,   5.338,  2.101) | Collidable: False
[ 70] Rock_70      | Model #2 | Pos: (-13.891,  -8.864,  0.676) | Collidable: False
[ 71] Rock_71      | Model #2 | Pos: (  2.141, -10.340,  1.674) | Collidable: True
[ 72] Rock_72      | Model #4 | Pos: ( -6.687,  -9.018,  1.001) | Collidable: True
[ 73] Rock_73      | Model #3 | Pos: (  6.793,  10.953,  1.359) | Collidable: False
[ 74] Rock_74      | Model #3 | Pos: (  8.942,   2.643,  1.054) | Collidable: False
[ 75] Rock_75      | Model #7 | Pos: (  1.341,   6.285,  1.308) | Collidable: False
[ 76] Rock_76      | Model #7 | Pos: (  1.699,   2.517,  1.495) | Collidable: False
[ 77] Rock_77      | Model #1 | Pos: (-12.694,   2.435,  0.779) | Collidable: True
[ 78] Rock_78      | Model #2 | Pos: ( -3.220,   8.178,  1.107) | Collidable: True
[ 79] Rock_79      | Model #9 | Pos: ( -9.938,   9.960,  1.021) | Collidable: False
[ 80] Rock_80      | Model #8 | Pos: (  5.796,  -0.852,  1.529) | Collidable: True
[ 81] Rock_81      | Model #4 | Pos: ( -1.858,   8.858,  0.819) | Collidable: False
[ 82] Rock_82      | Model #9 | Pos: ( -3.729,   3.647,  1.171) | Collidable: True
[ 83] Rock_83      | Model #2 | Pos: ( 12.734,   8.819,  1.676) | Collidable: False
[ 84] Rock_84      | Model #2 | Pos: ( -3.397,  -2.217,  1.452) | Collidable: True
[ 85] Rock_85      | Model #8 | Pos: (  5.555,   2.270,  1.139) | Collidable: True
[ 86] Rock_86      | Model #7 | Pos: ( -7.742,   7.673,  1.240) | Collidable: True
[ 87] Rock_87      | Model #9 | Pos: (-10.542,  -9.331,  0.707) | Collidable: True
[ 88] Rock_88      | Model #5 | Pos: ( -7.887,  -1.277,  1.323) | Collidable: False
[ 89] Rock_89      | Model #4 | Pos: ( -2.376,   0.290,  0.876) | Collidable: True
