Obstacle Data Summary
World Name      : world3
Heightmap       : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Total Placed    : 28
Density         : 0.03977272727272727 rocks/m²
Collidable Ratio: 0.9
Spacing Min     : 0.7 m
Min Terrain Z   : 0.15 m
Deadends        : True
Deadend Count   : 4
Target Rocks    : 28
Corridor Width  : 1.4 m
Corridor X      : 0.0 m
Seed            : 3
Timestamped File: obstacle_data_20260808_053834.npy

[  1] Rock_1       | Model #5 | Pos: ( -3.000,  -5.500,  1.263) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[  2] Rock_2       | Model #5 | Pos: ( -1.500,  -5.500,  1.203) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[  3] Rock_3       | Model #5 | Pos: (  0.000,  -5.500,  0.974) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[  4] Rock_4       | Model #1 | Pos: (  1.500,  -5.500,  0.719) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[  5] Rock_5       | Model #4 | Pos: ( -1.500,  -1.500,  1.165) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[  6] Rock_6       | Model #2 | Pos: (  0.000,  -1.500,  1.143) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[  7] Rock_7       | Model #4 | Pos: (  1.500,  -1.500,  1.481) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[  8] Rock_8       | Model #5 | Pos: ( -1.500,   2.500,  0.824) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[  9] Rock_9       | Model #2 | Pos: (  0.000,   2.500,  1.078) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 10] Rock_10      | Model #2 | Pos: (  1.500,   2.500,  1.475) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 11] Rock_11      | Model #5 | Pos: (  1.500,   6.000,  1.287) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 12] Rock_12      | Model #1 | Pos: (  3.000,   6.000,  0.866) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 13] Rock_13      | Model #1 | Pos: (  2.485,  -9.591,  1.574) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 14] Rock_14      | Model #7 | Pos: (-18.008,   8.042,  1.003) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[ 15] Rock_15      | Model #6 | Pos: (  6.629,  -1.218,  1.554) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 16] Rock_16      | Model #7 | Pos: (  1.053,  -4.377,  1.357) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[ 17] Rock_17      | Model #6 | Pos: (-10.050,   2.328,  0.703) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[ 18] Rock_18      | Model #4 | Pos: (  9.950,   1.520,  1.434) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 19] Rock_19      | Model #8 | Pos: (-15.018,  -0.396,  1.150) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 20] Rock_20      | Model #1 | Pos: (  5.601,   8.201,  0.829) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 21] Rock_21      | Model #2 | Pos: (-11.450, -10.208,  0.833) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: True
[ 22] Rock_22      | Model #6 | Pos: (-14.002, -10.066,  1.078) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 23] Rock_23      | Model #9 | Pos: (  2.791,  -8.743,  1.339) | Size: L=0.111 m | W=0.077 m | H=0.112 m | Collidable: True
[ 24] Rock_24      | Model #6 | Pos: ( -6.951,   1.962,  1.139) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 25] Rock_25      | Model #1 | Pos: (  3.622,   5.237,  0.935) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: False
[ 26] Rock_26      | Model #5 | Pos: (-13.072,   5.678,  1.173) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 27] Rock_27      | Model #5 | Pos: (  4.526,  -4.180,  1.653) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 28] Rock_28      | Model #8 | Pos: ( -8.697,  -3.657,  1.079) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
