Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/rock_generator/heightmap_tools/marsyard_heightmap.npz
Total Placed    : 319
Density         : 0.5 rocks/m²
Collidable Ratio: 0.5
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260722_165851.npy

[  1] Rock_1       | Model #9 | Pos: ( 11.254,   9.143,  1.260) | Collidable: False
[  2] Rock_2       | Model #2 | Pos: (  4.606,  -8.918,  1.103) | Collidable: False
[  3] Rock_3       | Model #8 | Pos: (  3.714,   3.517,  1.669) | Collidable: False
[  4] Rock_4       | Model #6 | Pos: (  6.238,  -1.382,  1.575) | Collidable: False
[  5] Rock_5       | Model #6 | Pos: (  7.867,   3.749,  1.525) | Collidable: True
[  6] Rock_6       | Model #4 | Pos: (-10.803,  -1.006,  1.124) | Collidable: False
[  7] Rock_7       | Model #8 | Pos: ( -8.329,  -8.179,  0.762) | Collidable: True
[  8] Rock_8       | Model #4 | Pos: ( -6.776,   3.333,  1.220) | Collidable: False
[  9] Rock_9       | Model #1 | Pos: ( 12.817,  10.885,  1.412) | Collidable: True
[ 10] Rock_10      | Model #3 | Pos: (  5.568,   0.269,  1.307) | Collidable: False
[ 11] Rock_11      | Model #7 | Pos: (  4.239,   8.748,  0.852) | Collidable: True
[ 12] Rock_12      | Model #4 | Pos: ( -3.939,   9.794,  0.884) | Collidable: True
[ 13] Rock_13      | Model #8 | Pos: ( 10.053,   8.945,  1.080) | Collidable: False
[ 14] Rock_14      | Model #2 | Pos: ( -6.345,  -5.777,  1.170) | Collidable: False
[ 15] Rock_15      | Model #9 | Pos: ( -2.847,  -0.401,  1.070) | Collidable: False
[ 16] Rock_16      | Model #5 | Pos: (  4.993,   7.220,  1.102) | Collidable: True
[ 17] Rock_17      | Model #5 | Pos: (  4.671, -10.627,  1.809) | Collidable: False
[ 18] Rock_18      | Model #5 | Pos: (  7.365,   7.477,  1.191) | Collidable: True
[ 19] Rock_19      | Model #2 | Pos: (-10.928,  -6.025,  1.126) | Collidable: False
[ 20] Rock_20      | Model #9 | Pos: ( -9.012,  -1.027,  1.187) | Collidable: False
[ 21] Rock_21      | Model #9 | Pos: (-14.500,  -0.334,  1.128) | Collidable: True
[ 22] Rock_22      | Model #5 | Pos: (  1.814,   6.894,  1.153) | Collidable: True
[ 23] Rock_23      | Model #5 | Pos: ( -1.205,  -5.101,  1.341) | Collidable: False
[ 24] Rock_24      | Model #2 | Pos: (-18.208,   7.366,  1.043) | Collidable: False
[ 25] Rock_25      | Model #9 | Pos: (-10.280, -10.110,  0.892) | Collidable: False
[ 26] Rock_26      | Model #1 | Pos: (  7.868,   6.329,  1.545) | Collidable: False
[ 27] Rock_27      | Model #2 | Pos: ( 11.161,   1.448,  1.340) | Collidable: True
[ 28] Rock_28      | Model #1 | Pos: (  4.077,   2.252,  1.479) | Collidable: True
[ 29] Rock_29      | Model #9 | Pos: (-10.002,   2.862,  0.734) | Collidable: False
[ 30] Rock_30      | Model #4 | Pos: ( -2.996,  -6.916,  0.980) | Collidable: True
[ 31] Rock_31      | Model #9 | Pos: ( -4.442,  -4.740,  1.270) | Collidable: True
[ 32] Rock_32      | Model #9 | Pos: ( -7.334,   0.516,  1.214) | Collidable: True
[ 33] Rock_33      | Model #4 | Pos: ( -0.501,   3.214,  1.199) | Collidable: True
[ 34] Rock_34      | Model #8 | Pos: (-15.068,   4.530,  1.134) | Collidable: True
[ 35] Rock_35      | Model #1 | Pos: ( -3.759,   7.795,  1.223) | Collidable: True
[ 36] Rock_36      | Model #6 | Pos: (  0.544,   1.630,  1.040) | Collidable: True
[ 37] Rock_37      | Model #5 | Pos: (  2.836,  -3.965,  1.531) | Collidable: True
[ 38] Rock_38      | Model #9 | Pos: ( -2.579,  10.798,  1.134) | Collidable: False
[ 39] Rock_39      | Model #7 | Pos: (  9.822,   2.174,  1.363) | Collidable: False
[ 40] Rock_40      | Model #6 | Pos: (  1.242,  -0.623,  1.288) | Collidable: True
[ 41] Rock_41      | Model #6 | Pos: (  0.537,  -6.756,  0.801) | Collidable: True
[ 42] Rock_42      | Model #9 | Pos: ( -7.713,  10.217,  0.951) | Collidable: False
[ 43] Rock_43      | Model #3 | Pos: ( -4.928,  10.649,  0.809) | Collidable: False
[ 44] Rock_44      | Model #6 | Pos: ( -3.723,  -1.449,  1.358) | Collidable: False
[ 45] Rock_45      | Model #9 | Pos: (  5.378,  -5.268,  1.540) | Collidable: False
[ 46] Rock_46      | Model #2 | Pos: ( -8.912, -10.195,  1.067) | Collidable: True
[ 47] Rock_47      | Model #6 | Pos: ( -5.836,   8.517,  1.221) | Collidable: False
[ 48] Rock_48      | Model #8 | Pos: (  8.455,   8.537,  1.052) | Collidable: False
[ 49] Rock_49      | Model #3 | Pos: ( -1.863,   3.499,  1.078) | Collidable: False
[ 50] Rock_50      | Model #5 | Pos: ( 11.689,   5.142,  1.252) | Collidable: False
[ 51] Rock_51      | Model #3 | Pos: (  2.340,   8.191,  1.239) | Collidable: True
[ 52] Rock_52      | Model #3 | Pos: ( -7.588,   2.332,  0.828) | Collidable: False
[ 53] Rock_53      | Model #7 | Pos: (  4.815,  -1.509,  1.621) | Collidable: False
[ 54] Rock_54      | Model #4 | Pos: ( -6.864,  -2.810,  1.251) | Collidable: True
[ 55] Rock_55      | Model #9 | Pos: (  6.940,  10.921,  1.344) | Collidable: True
[ 56] Rock_56      | Model #8 | Pos: (  4.898,   3.748,  2.003) | Collidable: True
[ 57] Rock_57      | Model #5 | Pos: (  9.781,   1.103,  1.452) | Collidable: False
[ 58] Rock_58      | Model #2 | Pos: ( -5.735,  -9.023,  0.857) | Collidable: False
[ 59] Rock_59      | Model #1 | Pos: ( -3.079,  -4.532,  1.370) | Collidable: False
[ 60] Rock_60      | Model #5 | Pos: ( -0.444,   9.044,  1.345) | Collidable: True
[ 61] Rock_61      | Model #8 | Pos: ( 10.040,   5.573,  1.234) | Collidable: True
[ 62] Rock_62      | Model #7 | Pos: ( -8.689,  -7.196,  0.959) | Collidable: True
[ 63] Rock_63      | Model #3 | Pos: (-13.926, -10.847,  1.247) | Collidable: True
[ 64] Rock_64      | Model #8 | Pos: ( -2.877,   8.869,  0.961) | Collidable: False
[ 65] Rock_65      | Model #7 | Pos: ( -8.456,   4.808,  1.211) | Collidable: True
[ 66] Rock_66      | Model #2 | Pos: (-10.303,  -5.241,  1.139) | Collidable: False
[ 67] Rock_67      | Model #3 | Pos: (  2.965,   6.361,  0.834) | Collidable: False
[ 68] Rock_68      | Model #7 | Pos: ( -7.872,  -2.602,  1.253) | Collidable: True
[ 69] Rock_69      | Model #7 | Pos: (-14.764,  -7.211,  1.053) | Collidable: True
[ 70] Rock_70      | Model #9 | Pos: (-15.867,  -7.846,  1.137) | Collidable: True
[ 71] Rock_71      | Model #4 | Pos: (  1.158,  -5.705,  0.546) | Collidable: False
[ 72] Rock_72      | Model #6 | Pos: (-11.751,   5.813,  1.205) | Collidable: True
[ 73] Rock_73      | Model #2 | Pos: (-11.212,  -7.280,  0.904) | Collidable: True
[ 74] Rock_74      | Model #1 | Pos: ( -7.972,   3.576,  0.945) | Collidable: False
[ 75] Rock_75      | Model #9 | Pos: ( -1.373,   9.986,  1.171) | Collidable: False
[ 76] Rock_76      | Model #1 | Pos: (  7.002,   9.129,  1.004) | Collidable: False
[ 77] Rock_77      | Model #4 | Pos: (  0.329,  -4.514,  1.352) | Collidable: False
[ 78] Rock_78      | Model #3 | Pos: ( -5.723,  -7.692,  0.976) | Collidable: True
[ 79] Rock_79      | Model #5 | Pos: ( -8.259,  -4.439,  1.161) | Collidable: False
[ 80] Rock_80      | Model #7 | Pos: ( 11.128,   4.267,  1.309) | Collidable: False
[ 81] Rock_81      | Model #1 | Pos: ( -0.860,  -1.671,  1.136) | Collidable: True
[ 82] Rock_82      | Model #4 | Pos: (  3.224,   4.765,  1.180) | Collidable: False
[ 83] Rock_83      | Model #1 | Pos: (  2.359,   0.830,  1.537) | Collidable: True
[ 84] Rock_84      | Model #3 | Pos: (-10.520,  -3.245,  1.224) | Collidable: True
[ 85] Rock_85      | Model #6 | Pos: (  4.512,  -6.678,  0.708) | Collidable: False
[ 86] Rock_86      | Model #9 | Pos: (  9.121,   3.117,  1.007) | Collidable: False
[ 87] Rock_87      | Model #2 | Pos: (-15.850,  -5.117,  1.040) | Collidable: True
[ 88] Rock_88      | Model #6 | Pos: ( 11.585,   7.062,  1.736) | Collidable: True
[ 89] Rock_89      | Model #6 | Pos: ( 12.379,   7.963,  1.750) | Collidable: True
[ 90] Rock_90      | Model #7 | Pos: ( -2.421,   7.246,  1.200) | Collidable: True
[ 91] Rock_91      | Model #8 | Pos: ( -2.048,  -7.415,  1.024) | Collidable: True
[ 92] Rock_92      | Model #7 | Pos: (  6.832,  -8.905,  1.811) | Collidable: False
[ 93] Rock_93      | Model #7 | Pos: (-11.939,   1.456,  0.711) | Collidable: False
[ 94] Rock_94      | Model #1 | Pos: (-11.305,   3.688,  0.753) | Collidable: False
[ 95] Rock_95      | Model #2 | Pos: (  2.560,  -6.946,  0.591) | Collidable: True
[ 96] Rock_96      | Model #4 | Pos: (-12.451,  -4.929,  1.071) | Collidable: False
[ 97] Rock_97      | Model #4 | Pos: (  6.768,   3.452,  1.825) | Collidable: False
[ 98] Rock_98      | Model #2 | Pos: ( -4.743,  -0.216,  1.372) | Collidable: True
[ 99] Rock_99      | Model #9 | Pos: (  1.774, -10.785,  1.717) | Collidable: True
[100] Rock_100     | Model #5 | Pos: (-13.252,  -5.795,  1.013) | Collidable: False
[101] Rock_101     | Model #6 | Pos: (-16.195,   9.055,  1.103) | Collidable: True
[102] Rock_102     | Model #5 | Pos: ( 11.164,   2.490,  1.305) | Collidable: False
[103] Rock_103     | Model #8 | Pos: (  9.119,   9.562,  1.092) | Collidable: False
[104] Rock_104     | Model #8 | Pos: (  0.438,  -9.855,  1.522) | Collidable: True
[105] Rock_105     | Model #3 | Pos: ( -3.325,   1.253,  0.844) | Collidable: False
[106] Rock_106     | Model #8 | Pos: (  8.687,   1.298,  1.296) | Collidable: False
[107] Rock_107     | Model #7 | Pos: (-14.648,   1.134,  0.852) | Collidable: False
[108] Rock_108     | Model #7 | Pos: ( -7.122,  -8.429,  0.850) | Collidable: True
[109] Rock_109     | Model #6 | Pos: (  3.229,   9.628,  1.254) | Collidable: False
[110] Rock_110     | Model #2 | Pos: ( 11.150,  10.884,  1.592) | Collidable: False
[111] Rock_111     | Model #6 | Pos: ( -9.997,  -8.843,  0.734) | Collidable: False
